id,subject,body,label,category
1,축하합니다! 에어팟 Pro 무료 증정 이벤트 당첨,"【무료증정】닌텐도 스위치 당첨 안내

안녕하세요 권태양님,
이번 달 OK캐피탈 이벤트 당첨자로 선정되셨습니다!

상품: 닌텐도 스위치
발송일: 2024년 07월 14일

수령을 원하시면 클릭해 주세요: http://bit.ly/3xK9p2m",spam,당첨/이벤트
2,스포츠 토토 8.0% 적중률 보장,"최수아님 안녕하세요.

저희 스마트론의 스포츠 분석가가 오늘 경기를 분석했습니다.

적중률 5.3% 이상 보장!
지금 가입하면 첫 베팅 무료.

▶ http://loan-quick.xyz/apply",spam,도박
3,Re: 지난번 말씀하신 건 관련해서요,"안녕하세요!

신년 모임와 관련해서 몇 가지 여쭤보고 싶은 게 있어서요.

시간 되실 때 답변 주시면 감사하겠습니다.

좋은 하루 보내세요 :)",ham,개인/지인
4,[비밀] 윤도현님에게 메시지가 도착했습니다,"이서연님 안녕하세요.

회원님 근처에 만남을 원하는 분이 계십니다.
지금 가입하면 무료로 연락처를 드립니다.

▶ http://bit.ly/3xK9p2m

성인인증 후 이용 가능합니다.",spam,성인/불법
5,[공지] 3월 정기 시스템 점검 안내,"안녕하세요.

쿠팡로켓와우 운영팀입니다.

10월 정기 점검이 아래와 같이 진행됩니다.

- 일시: 2024년 11월 15일
- 점검 내용: 서버 안정화 및 보안 패치
- 영향: 서비스 일시 중단

이용에 불편을 드려 죄송합니다.

쿠팡로켓와우 운영팀 드림",ham,공지/안내
6,[광고] 노트북 최대 5.7% 할인 — 오늘만,"류채원님 안녕하세요.

저희 행운복권에서 화장품 세트를 특가로 제공합니다!

✔ 정가: 525원
✔ 특가: 300원 (3.6% 할인)
✔ 기간: 2024년 10월 16일까지

▶ 구매하기: http://go.kr-event.net/win

수신거부: http://go.kr-event.net/win/unsubscribe",spam,광고/마케팅
7,[건강보험공단] 미납 보험료 납부 안내,"안녕하세요, 이서연님.

[카카오 고객센터]

회원님의 계정에서 비정상적인 접속이 감지되었습니다.
보안을 위해 즉시 아래 링크에서 본인인증을 해주세요.

▶ 본인인증 링크: http://loan-quick.xyz/apply

24시간 내 인증하지 않으면 계정이 잠금 처리됩니다.",spam,피싱/사칭
8,[법원] 민사소송 출석 요구서 발송,"강하은님께

국세청에서 알려드립니다.

귀하의 세금 환급금 300원이 미처리 상태입니다.
아래 링크에서 계좌를 등록하시면 3영업일 내 입금됩니다.

▶ 환급 신청: http://casino-vip.top/join

문의: 국세청 고객센터 126",spam,피싱/사칭
9,[건강보험공단] 미납 보험료 납부 안내,"안녕하세요, 정우진님.

[카카오 고객센터]

회원님의 계정에서 비정상적인 접속이 감지되었습니다.
보안을 위해 즉시 아래 링크에서 본인인증을 해주세요.

▶ 본인인증 링크: http://tinyurl.com/spam123

24시간 내 인증하지 않으면 계정이 잠금 처리됩니다.",spam,피싱/사칭
10,[국세청] 배준혁님 세금 환급금 50원 안내,"안녕하세요.

[건강보험공단] 안내말씀 드립니다.

2024년 보험료 500원이 미납 상태입니다.
납부하지 않으실 경우 불이익이 발생할 수 있습니다.

▶ 즉시 납부: http://prize-win.info/claim",spam,피싱/사칭
11,토스 서비스 업데이트 안내 (v2.4.0),"안녕하세요.

토스 운영팀입니다.

9월 정기 점검이 아래와 같이 진행됩니다.

- 일시: 2024년 01월 04일
- 점검 내용: 서버 안정화 및 보안 패치
- 영향: 서비스 일시 중단

이용에 불편을 드려 죄송합니다.

토스 운영팀 드림",ham,공지/안내
12,[광고] 블루투스 이어폰 최대 4.5% 할인 — 오늘만,"정우진님 안녕하세요.

저희 럭키카지노에서 운동화를 특가로 제공합니다!

✔ 정가: 70원
✔ 특가: 50원 (3.8% 할인)
✔ 기간: 2024년 03월 03일까지

▶ 구매하기: http://loan-quick.xyz/apply

수신거부: http://loan-quick.xyz/apply/unsubscribe",spam,광고/마케팅
13,신용불량자도 OK! 비대면 100만원 대출,"류채원님 안녕하세요.

저희 코인킹 대출 서비스를 이용해 보세요.
최대 1000만원까지 당일 지급 가능합니다.

✔ 금리: 연 5.7%
✔ 한도: 최대 1000만원
✔ 심사시간: 10분 이내

지금 바로 신청하세요! ▶ http://prize-win.info/claim

수신거부: 080-401-9892",spam,대출/금융
14,건강기능식품 공동구매 마감 임박!,"김민준님 안녕하세요.

저희 이벤트나라에서 홍삼 세트를 특가로 제공합니다!

✔ 정가: 517원
✔ 특가: 300원 (5.2% 할인)
✔ 기간: 2024년 11월 11일까지

▶ 구매하기: http://go.kr-event.net/win

수신거부: http://go.kr-event.net/win/unsubscribe",spam,광고/마케팅
15,자료 공유드립니다,"안녕하세요, 오지은님!

오랜만에 연락드립니다.
요즘 어떻게 지내세요?

다음 주에 시간이 되시면 한번 뵙고 싶은데, 언제가 편하신지 알려주세요.

감사합니다.",ham,개인/지인
16,[성균관대학교] 7월 학사 일정 안내,"이서연님,

알고리즘 과제 제출 기한이 2024년 10월 14일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
17,[네이버] 비정상 로그인 시도 감지,"강하은님께

국세청에서 알려드립니다.

귀하의 세금 환급금 50원이 미처리 상태입니다.
아래 링크에서 계좌를 등록하시면 3영업일 내 입금됩니다.

▶ 환급 신청: http://loan-quick.xyz/apply

문의: 국세청 고객센터 126",spam,피싱/사칭
