"id","subject","body","label"
"1","시작일: 01/12/29; 전시간전 시간: 23;","시작일: 01/12/29; 전시간전 시간: 23; 보조 일정 없음. 이상 없음. 로그: 파일 파싱 중 iso final schedules 2001122923.txt ### 선호 일정이 최종 개별 교환 일정과 일치하지 않음. 거래 번호 할당 불가.","ham"
"2","머크 매뉴얼 업데이트","머크 매뉴얼 업데이트 - 디지털 통합, 이제 현실! 의사·학생·의료 종사자들이 너무 많은 기기를 들고 다닙니다. 핸드헬드메드가 모비포켓 리더로 전환을 도와드립니다. 수백 가지 스마트폰 지원! A to Z 약물 정보 6판 출시, 월별 업데이트.","spam"
"3","기다리던 답변..","기다리던 답변.. 이브라힘 무티우 씨 / 연방 재무부 / 나이지리아 / 극비 / 개인 해외 계좌로 2,550만 달러 이체 건. 귀하의 협조를 요청드립니다. 총액의 20%를 수수료로 드리겠습니다.","spam"
"4","마이크로소프트 업데이트 경고 - 1월 7일","마이크로소프트 업데이트 경고 - 1월 7일. 미네소타는 이번 주말 와일드카드 플레이오프 자리를 확보할 기회가 있었으나, 홀딩 페널티로 기회를 놓쳤습니다. 바이킹스는 패스 수비로 고전했습니다.","spam"
"5","대프니","대프니 에드워즈 / 케이블필터즈로 리모컨으로 모든 채널을 수신하세요. 페이퍼뷰, 성인 영화, 스포츠 이벤트 모두 가능. [URL]","spam"
"6","토요일, 9월 22일 - 마운트 테이버","토요일, 9월 22일 - 마운트 테이버 / 9월 22일 토요일 정오, 마운트 테이버 회사 소풍을 달력에 표시해 두세요. 가족과 함께 오세요! 하와이 밴드와 훌라 댄서 공연, 게임과 경품도 있습니다.","ham"
"7","화이트 씨가 $10,735를 기다리고 있습니다","화이트 씨가 $10,735를 기다리고 있습니다 / 귀하의 주택담보대출 신청을 검토 중입니다. 신용등급 나빠도 괜찮습니다! 50만 달러 대출을 소액 월납부로 받으세요. 승인 2분 이내! 아래 링크에서 신청하세요.","spam"
"8","RE: 조직 공지 2차 초안","RE: 조직 공지 2차 초안 / 루이스, 조금 수정했지만 어느 버전이든 괜찮습니다. 데트머링에게도 보내야 할까요? / 엔론 아메리카스 내 '비즈니스 개발' 신규 그룹 신설을 알려드립니다.","ham"
"9","시작일: 01/12/14; 전시간전 시간: 23;","시작일: 01/12/14; 전시간전 시간: 23; 보조 일정 없음. 이상 없음. 로그: 파일 파싱 중 iso final schedules 2001121423.txt","ham"
"10","그래픽 아티스트가 필요하신가요? 여기 오세요","그래픽 아티스트가 필요하신가요? 비즈니스에 새 생명을 불어넣으세요. 로고·문구류·웹사이트 맞춤 창의 디자인 제공. 강력한 마케팅 도구로 신선한 바람을 불어넣겠습니다.","spam"
"11","주택담보대출 최저금리!","주택담보대출 최저금리! 수신 거부: 제목에 'remove' 또는 888-418-2575. 대출업체들이 귀하를 위해 경쟁합니다! 캐시백 재융자 / 자기자본 없는 2차 신탁증서 / 부채 통합 / 소득 확인 불필요.","spam"
"12","RE: 첸(프랭크) 펑의 리서치 그룹 인터뷰","RE: 첸(프랭크) 펑의 리서치 그룹 인터뷰 / 몰리, 프랭크 인터뷰 일정 잡을 때가 됐네요. 크리슈나가 돌아오는 2월 초에 모셔오고 싶습니다. 연락해서 편한 시간 알아봐 주세요.","ham"
"13","인도의 엔론","인도의 엔론 / 마크, 두 가지 말씀드립니다. 1. 아바이 메타가 미국 순회 중입니다. 지난 일요일 스탠퍼드 대학 미팅 정보를 확인해 주세요. 제 아내가 다녀왔습니다.","ham"
"14","협상 스킬 컴퍼니 명언 업데이트","협상 스킬 컴퍼니 명언 업데이트 / '규칙을 제대로 어기려면 먼저 규칙을 알아야 한다' - 달라이 라마 / 스티븐 P. 코헨의 최신 칼럼 '스티브에게 물어보세요'를 확인하세요.","ham"
"15","유사 알림","유사 알림 / 문의해 주셔서 감사합니다. 두 대출업체가 거래를 제안하고자 합니다. 이 특별 혜택은 과거 신용 기록과 무관합니다. 저희 안전한 사이트에서 정보를 확인해 주세요.","spam"
"16","니들스/토팍 가격 차이","니들스/토팍 가격 차이 / 일부 고객과 시장 역학에 대해 이야기했습니다. 각 고객은 토팍 가스 공급의 공급 측 역학에 집중했습니다.","ham"
"17",">> 전국 최저 모기지 금리!",">> 전국 최저 모기지 금리! / 더 이상 연락을 원치 않으시거나 잘못 받으신 경우 여기를 클릭해 수신 거부하세요.","spam"
"18","영국 드리프트","영국 드리프트 / 마이크, 2001년 드리프트 분석과 신규 거래가 총 장부 잔액의 현재 가치에 미치는 영향을 제공해 주세요. 합당한 요청이므로 별도 목표 자료 없이 처리해 주시기 바랍니다. - 실라","ham"
"19","고정가격 스왑 프로파일","고정가격 스왑 프로파일 / [엔론 42.xls: 2599] / 대런, 기다려 주셔서 감사합니다. 시간 나면 전화 주세요. - 패트리샤 앤더슨 512-370-8280","ham"
"20","스케줄 크롤러: 전시간전 실패","스케줄 크롤러: 전시간전 실패 / 시작일: 02/01/21; 전시간전 시간: 18; 다운로드 실패. 수동 개입 필요. 로그: iso final schedules 2002012118.txt / 오류: DBCAPS 97d","ham"
"21","런던 도어스텝 1단계 책임 매트릭스","런던 도어스텝 1단계 책임 매트릭스 / 최신 초안입니다. 존이 확인했습니다. 펀리와의 대화 결과를 알려주세요. 존의 발언에 다소 실망스럽습니다.","ham"
